trace,bin,ipc,l2c_total_access,l2c_total_hit,l2c_total_miss,l2c_load_access,l2c_load_hit,l2c_load_miss,l2c_rfo_access,l2c_rfo_hit,l2c_rfo_miss,l2c_prefetch_access,l2c_prefetch_hit,l2c_prefetch_miss,l2c_writeback_access,l2c_writeback_hit,l2c_writeback_miss,l2c_pref_requested,l2c_pref_issued,l2c_pref_useful,l2c_pref_useless,l2c_avg_miss_latency
600.perlbench_s-210B.champsimtrace.xz,perceptron-no-no-bop-no-ship-1core,1.56806,19294,13874,5420,9756,7618,2138,411,154,257,7735,4720,3015,1392,1382,10,7788,7788,443,1350,162.778
627.cam4_s-573B.champsimtrace.xz,perceptron-no-no-bop-no-ship-1core,1.80501,428789,303059,125730,122535,102861,19674,109276,27830,81446,76811,52441,24370,120167,119927,240,79975,79969,5491,17517,402.462
602.gcc_s-734B.champsimtrace.xz,perceptron-no-no-bop-no-ship-1core,0.730594,1265035,836157,428878,810257,587778,222479,88,27,61,446612,240275,206337,8078,8077,1,448885,448885,184070,22332,107.314
628.pop2_s-17B.champsimtrace.xz,perceptron-no-no-bop-no-ship-1core,1.756,2479962,1748492,731470,952893,712528,240365,319176,149039,170137,752464,431786,320678,455429,455139,290,783870,783870,220968,99584,65.6175
603.bwaves_s-3699B.champsimtrace.xz,perceptron-no-no-bop-no-ship-1core,1.89407,108117,53332,54785,9731,7016,2715,45537,261,45276,7539,745,6794,45310,45310,0,7540,7540,6382,429,153.754
631.deepsjeng_s-928B.champsimtrace.xz,perceptron-no-no-bop-no-ship-1core,1.19548,221362,189813,31549,91554,76483,15071,22369,20432,1937,71671,57253,14418,35768,35645,123,72198,72198,794,12679,121.52
605.mcf_s-665B.champsimtrace.xz,perceptron-no-no-bop-no-ship-1core,0.417729,3343483,1291776,2051707,1902775,695000,1207775,195373,40633,154740,965865,277088,688777,279470,279055,415,984141,984141,227611,461162,103.453
638.imagick_s-10316B.champsimtrace.xz,perceptron-no-no-bop-no-ship-1core,2.60869,765739,575967,189772,444724,319960,124764,295,107,188,320003,255183,64820,717,717,0,320299,320299,30699,33857,32.9729
607.cactuBSSN_s-2421B.champsimtrace.xz,perceptron-no-no-bop-no-ship-1core,1.60668,8528190,7439074,1089116,4964142,4863229,100913,327539,289477,38062,2872557,1925382,947175,363952,360986,2966,3068457,2875703,315932,631324,65.6383
641.leela_s-800B.champsimtrace.xz,perceptron-no-no-bop-no-ship-1core,0.926787,221572,198685,22887,124278,116228,8050,13964,13692,272,58387,43858,14529,24943,24907,36,58398,58398,909,12994,73.4583
619.lbm_s-4268B.champsimtrace.xz,perceptron-no-no-bop-no-ship-1core,0.438949,7571494,4617719,2953775,589536,373523,216013,3295737,932465,2363272,390445,16876,373569,3295776,3294855,921,416917,416917,372780,768,574.522
644.nab_s-5853B.champsimtrace.xz,perceptron-no-no-bop-no-ship-1core,1.46503,534930,521960,12970,253912,248580,5332,446,366,80,205166,197608,7558,75406,75406,0,205175,205175,4581,2608,111.111
620.omnetpp_s-874B.champsimtrace.xz,perceptron-no-no-bop-no-ship-1core,0.37735,2088912,880393,1208519,891202,287782,603420,123438,26441,96997,590878,85995,504883,483394,480175,3219,612130,612130,68466,436496,151.534
648.exchange2_s-1699B.champsimtrace.xz,perceptron-no-no-bop-no-ship-1core,2.68056,2652,1446,1206,1441,981,460,99,10,89,1112,455,657,0,0,0,1170,1170,461,0,122.283
621.wrf_s-575B.champsimtrace.xz,perceptron-no-no-bop-no-ship-1core,1.24419,4281,2268,2013,1295,767,528,1026,178,848,1036,399,637,924,924,0,1249,1249,362,3,173.423
649.fotonik3d_s-1176B.champsimtrace.xz,perceptron-no-no-bop-no-ship-1core,0.922179,1460675,796489,664186,660928,308406,352522,770,110,660,359717,48713,311004,439260,439260,0,369870,369870,307827,3185,136.617
623.xalancbmk_s-700B.champsimtrace.xz,perceptron-no-no-bop-no-ship-1core,0.560064,4109596,1689624,2419972,2581401,1093217,1488184,92271,15351,76920,1290862,436119,854743,145062,144937,125,1414520,1414520,108636,746040,39.8823
654.roms_s-842B.champsimtrace.xz,perceptron-no-no-bop-no-ship-1core,2.08428,18286,7929,10357,6037,3315,2722,4173,221,3952,3889,206,3683,4187,4187,0,3889,3889,3217,216,107.954
625.x264_s-18B.champsimtrace.xz,perceptron-no-no-bop-no-ship-1core,2.27911,32640,14806,17834,18740,7761,10979,749,166,583,12400,6134,6266,751,745,6,12416,12416,4947,1301,158.313
657.xz_s-3167B.champsimtrace.xz,perceptron-no-no-bop-no-ship-1core,1.29088,644155,412262,231893,225680,119333,106347,66904,43338,23566,142737,42018,100719,208834,207573,1261,142976,142976,8829,91627,117.041
